FeatureValue   |   Average TimeWithMD
       1      |       20.2502621723      
       2      |       20.9213570634      
       3      |       20.3729757085      
       4      |       19.9079320113      
       5      |       20.754950495      
       6      |       22.3172228615      
       8      |       19.4989106754      
       9      |       17.7636363636      
