FeatureValue   |   Average TimeWithMD
       0      |       20.3255735264      
       1      |       20.4300612106      
       2      |       20.877665152      
       3      |       21.3042183623      
       4      |       21.3791641429      
       5      |       20.4472152951      
       6      |       20.6369922213      
       7      |       21.1286307054      
       8      |       21.1298101591      
