FeatureValue   |   Average TimeWithMD
       4429      |       17.5      
       336      |       31.5      
       337      |       10.5      
       4434      |       17.3333333333      
       4835      |       20.7142857143      
       340      |       17.1666666667      
       343      |       18.8      
       345      |       22.5625      
       346      |       16.125      
       1423      |       14.2857142857      
       348      |       21.4255319149      
       4445      |       15.0      
       350      |       20.3823529412      
       4448      |       19.1      
       3371      |       17.5      
       4450      |       15.0      
       355      |       17.2      
       4452      |       41.6666666667      
       10597      |       15.0      
       358      |       24.5      
       3473      |       29.7173913043      
       360      |       26.0      
       361      |       30.0      
       363      |       16.6363636364      
       365      |       22.2142857143      
       4462      |       15.7142857143      
       370      |       25.0      
       371      |       22.3125      
       373      |       21.8846153846      
       377      |       17.5      
       70010      |       60.0      
       379      |       24.7142857143      
       381      |       24.2195121951      
       7298      |       8.6      
       384      |       24.0      
       10625      |       15.0      
       386      |       19.4482758621      
       389      |       12.5      
       4487      |       20.0      
       395      |       26.6862745098      
       396      |       21.8181818182      
       397      |       14.3333333333      
       4497      |       21.9230769231      
       3423      |       18.8780487805      
       4499      |       24.7704918033      
       4500      |       20.8192771084      
       405      |       27.5      
       4503      |       15.0      
       3355      |       20.0      
       11332      |       17.6842105263      
       1241      |       17.4      
       412      |       22.5714285714      
       413      |       19.0      
       4513      |       28.0434782609      
       4514      |       21.7358490566      
       10660      |       10.0      
       6214      |       28.3333333333      
       4519      |       20.0      
       10664      |       18.1666666667      
       425      |       21.0833333333      
       426      |       23.6      
       4523      |       20.0      
       4509      |       19.5      
       4168      |       15.0      
       755      |       12.75      
       4532      |       21.4754098361      
       438      |       24.1071428571      
       439      |       15.0      
       1242      |       13.0      
       4537      |       24.2352941176      
       4538      |       23.1132075472      
       4539      |       15.0      
       4311      |       24.0833333333      
       10687      |       30.0      
       4547      |       15.0      
       4855      |       28.75      
       10701      |       20.0      
       10704      |       30.0      
       5471      |       30.0      
       468      |       15.0      
       4380      |       19.9166666667      
       10995      |       27.5      
       3492      |       11.6      
       3289      |       20.0      
       10715      |       22.5      
       4572      |       24.75      
       10927      |       15.0      
       3      |       21.0      
       10726      |       16.2857142857      
       488      |       60.0      
       6635      |       21.6      
       4108      |       15.0      
       4504      |       30.25      
       496      |       50.0      
       497      |       20.9516129032      
       1217      |       22.5      
       4597      |       34.0      
       3623      |       23.0      
       10324      |       15.0      
       7382      |       17.5      
       513      |       29.6666666667      
       4611      |       20.1428571429      
       17      |       25.5      
       6662      |       21.2222222222      
       6663      |       25.6666666667      
       6665      |       16.0      
       11351      |       27.0      
       524      |       24.2857142857      
       525      |       20.0      
       528      |       25.0      
       53778      |       17.0      
       8201      |       5.0      
       10588      |       15.0      
       537      |       24.34      
       4527      |       24.0      
       51740      |       30.0      
       541      |       21.1754385965      
       543      |       30.0      
       550      |       23.3333333333      
       555      |       14.7647058824      
       557      |       22.6923076923      
       558      |       15.2894736842      
       6      |       16.6666666667      
       3848      |       10.0      
       563      |       18.8245614035      
       5338      |       19.4      
       569      |       20.0      
       570      |       15.0      
       70204      |       4.0      
       6720      |       24.7142857143      
       4192      |       15.0      
       4674      |       20.1692307692      
       4675      |       20.0      
       5543      |       12.5      
       583      |       14.4      
       4111      |       24.0833333333      
       4685      |       30.0      
       10680      |       30.0      
       10834      |       22.5      
       3171      |       60.0      
       7453      |       12.6666666667      
       598      |       24.6666666667      
       4695      |       15.7142857143      
       10327      |       29.0      
       4697      |       24.8888888889      
       4700      |       27.5      
       5612      |       14.75      
       4703      |       14.1666666667      
       608      |       20.0      
       609      |       20.1111111111      
       4708      |       20.4375      
       4112      |       37.0      
       10001      |       10.0      
       10856      |       25.0      
       10857      |       30.0      
       620      |       16.2289156627      
       4719      |       15.0      
       10864      |       15.0      
       4722      |       24.0      
       11027      |       18.0      
       11273      |       15.0      
       4725      |       18.3333333333      
       4726      |       21.5      
       4727      |       20.0      
       11615      |       15.0      
       10455      |       23.0      
       4737      |       25.6666666667      
       4739      |       23.6666666667      
       4740      |       20.1428571429      
       790      |       34.1666666667      
       4742      |       17.75      
       4743      |       12.5      
       10890      |       15.0      
       651      |       22.5      
       4748      |       15.0      
       4749      |       20.412371134      
       4750      |       26.3333333333      
       655      |       23.25      
       10897      |       18.0      
       4754      |       17.5217391304      
       10900      |       15.0      
       4758      |       17.0      
       4760      |       18.8163265306      
       10907      |       15.0      
       4764      |       23.0      
       4766      |       23.0      
       11717      |       15.0      
       4208      |       23.0      
       4114      |       19.0      
       4771      |       19.0909090909      
       4772      |       15.0      
       4773      |       22.125      
       4774      |       10.0      
       227      |       40.0      
       4777      |       24.1764705882      
       4779      |       18.5      
       4893      |       17.7142857143      
       10928      |       21.0      
       689      |       20.1893491124      
       115      |       41.25      
       53940      |       18.1475409836      
       4790      |       21.6666666667      
       695      |       15.0      
       6842      |       22.75      
       699      |       31.0476190476      
       4797      |       18.0952380952      
       4798      |       15.0      
       296      |       12.5      
       704      |       15.0      
       4801      |       21.6440677966      
       5101      |       0.0      
       6851      |       11.8888888889      
       709      |       22.0      
       119      |       15.0      
       4812      |       25.40625      
       70480      |       30.0      
       10962      |       22.5      
       6867      |       12.5      
       11549      |       28.5      
       726      |       17.8571428571      
       10968      |       17.0      
       4825      |       29.0175438596      
       730      |       22.6756756757      
       4827      |       30.4      
       732      |       20.262755102      
       4829      |       23.04      
       805      |       50.0      
       10978      |       23.5      
       123      |       11.6842105263      
       4836      |       14.7272727273      
       743      |       15.0      
       744      |       33.6666666667      
       4220      |       27.4166666667      
       746      |       20.3021582734      
       10988      |       40.0      
       749      |       19.9173789174      
       4221      |       45.0      
       752      |       50.0      
       4849      |       21.2857142857      
       4851      |       22.0843373494      
       3162      |       10.0      
       366      |       24.0      
       5856      |       26.0      
       6905      |       23.4444444444      
       127      |       18.2      
       4117      |       18.75      
       4799      |       15.0      
       5366      |       11.0      
       54015      |       20.0      
       11008      |       26.85      
       769      |       20.3571428571      
       771      |       22.0      
       772      |       15.5      
       773      |       15.0      
       129      |       16.25      
       4877      |       23.8571428571      
       4878      |       14.3333333333      
       785      |       14.3333333333      
       787      |       19.4444444444      
       4884      |       20.0      
       11030      |       20.6666666667      
       4888      |       22.2727272727      
       11396      |       10.2941176471      
       4118      |       15.0      
       4459      |       5.0      
       796      |       13.25      
       797      |       17.6444444444      
       4896      |       17.5757575758      
       11041      |       16.5641025641      
       11042      |       19.5      
       4899      |       20.0      
       804      |       25.375      
       1158      |       18.652173913      
       806      |       19.3928571429      
       807      |       15.0      
       809      |       13.3333333333      
       810      |       17.8571428571      
       813      |       25.0      
       817      |       22.1428571429      
       4915      |       22.5      
       9012      |       25.0      
       137      |       25.0      
       824      |       16.0      
       4234      |       12.0      
       833      |       24.5      
       164      |       20.0      
       838      |       15.0      
       4935      |       15.0      
       840      |       31.6666666667      
       52023      |       20.0      
       848      |       20.5128205128      
       4920      |       23.5      
       851      |       26.5384615385      
       70484      |       60.0      
       3214      |       16.4      
       4461      |       21.5      
       11285      |       15.0      
       7001      |       20.0      
       7002      |       20.0      
       859      |       22.05      
       6848      |       36.6666666667      
       862      |       40.0      
       867      |       18.4074074074      
       71065      |       15.0      
       145      |       28.75      
       11114      |       0.0      
       29      |       17.5      
       4242      |       17.5      
       10463      |       0.0      
       880      |       23.1458333333      
       147      |       11.25      
       884      |       20.0      
       71021      |       10.0      
       11129      |       17.0      
       11130      |       27.0      
       7658      |       25.0      
       11134      |       20.0      
       149      |       23.8351648352      
       896      |       25.0      
       1189      |       10.0      
       898      |       30.0      
       899      |       45.0      
       900      |       25.6545454545      
       4929      |       15.0      
       4534      |       15.0      
       7660      |       20.0      
       7050      |       15.0      
       907      |       25.1052631579      
       910      |       21.5      
       7057      |       21.0      
       11154      |       15.0      
       11157      |       19.0      
       7371      |       20.5      
       6297      |       23.3333333333      
       11163      |       17.1428571429      
       11166      |       14.4230769231      
       9119      |       20.0      
       7073      |       21.875      
       6032      |       15.0      
       7075      |       28.0      
       7396      |       20.0      
       934      |       10.0      
       9128      |       20.0      
       3825      |       15.0      
       10249      |       0.0      
       11185      |       10.0      
       5044      |       15.8      
       577      |       15.0      
       5048      |       19.75      
       5049      |       1.0      
       10399      |       15.0      
       9148      |       15.0      
       3007      |       19.3783783784      
       960      |       22.3125      
       962      |       12.0      
       963      |       18.9807692308      
       964      |       16.0      
       965      |       22.5333333333      
       966      |       13.3333333333      
       967      |       24.6666666667      
       7113      |       25.1875      
       970      |       21.6666666667      
       70607      |       10.0      
       976      |       43.0      
       977      |       50.0      
       1187      |       45.0      
       985      |       20.4285714286      
       7130      |       21.0      
       10603      |       25.0      
       988      |       15.0      
       11429      |       16.5      
       992      |       15.0      
       3041      |       32.4285714286      
       3170      |       25.0      
       999      |       24.5294117647      
       3050      |       18.42      
       11431      |       20.5      
       3052      |       22.2916666667      
       1005      |       15.0      
       11286      |       33.2      
       1008      |       30.0      
       1013      |       20.0      
       1014      |       20.0      
       1015      |       13.5      
       3370      |       25.0      
       1017      |       16.8      
       1018      |       24.0      
       11259      |       28.5      
       1021      |       17.8260869565      
       1023      |       16.7777777778      
       1024      |       17.9166666667      
       1025      |       21.0      
       1026      |       15.0      
       3075      |       28.0806451613      
       3280      |       15.0      
       11271      |       36.0      
       4453      |       25.0      
       11436      |       30.0      
       855      |       30.0      
       34      |       26.6666666667      
       174      |       23.625      
       512      |       23.5833333333      
       4331      |       27.5      
       56345      |       21.5      
       3098      |       15.0      
       175      |       19.0      
       7400      |       15.0      
       5866      |       21.6666666667      
       11440      |       12.5      
       717      |       25.0      
       11300      |       15.0      
       3110      |       19.5654761905      
       1201      |       15.0      
       70699      |       10.0      
       1070      |       15.0      
       8021      |       30.0      
       11315      |       10.0      
       11318      |       15.0      
       11319      |       17.5      
       3128      |       22.987654321      
       3129      |       25.75      
       3130      |       16.6666666667      
       11324      |       18.0      
       11325      |       17.8333333333      
       7349      |       26.5      
       11328      |       12.5      
       3137      |       10.0      
       11330      |       10.0      
       11331      |       15.0      
       3140      |       20.7918781726      
       3141      |       13.3333333333      
       3145      |       27.7777777778      
       3148      |       14.9655172414      
       70733      |       15.0      
       11344      |       30.0      
       1105      |       18.0      
       3154      |       15.0      
       3157      |       26.8620689655      
       11350      |       24.0      
       70743      |       15.0      
       3160      |       22.7037037037      
       11354      |       16.8      
       1115      |       25.0      
       3258      |       17.1666666667      
       5214      |       22.6875      
       5218      |       18.0      
       187      |       21.0      
       188      |       18.0      
       1265      |       10.0      
       3180      |       24.8679245283      
       3181      |       29.8705882353      
       3182      |       23.4383561644      
       3183      |       7.5      
       1136      |       25.0      
       5234      |       5.0      
       5357      |       18.5      
       3189      |       17.5      
       3190      |       22.5      
       3191      |       20.0714285714      
       3192      |       15.0      
       3193      |       25.0      
       3195      |       23.25      
       3197      |       18.2068965517      
       3200      |       11.0      
       7297      |       40.0      
       3202      |       16.0      
       3203      |       21.8333333333      
       1156      |       20.0      
       3205      |       18.125      
       3206      |       19.2592592593      
       193      |       15.0      
       3208      |       17.037037037      
       10336      |       12.5      
       3210      |       17.75      
       3211      |       27.6666666667      
       1164      |       20.4074074074      
       1218      |       18.5      
       1166      |       22.1224489796      
       51390      |       12.0      
       1168      |       21.7777777778      
       5265      |       28.3      
       1171      |       19.2      
       3220      |       24.0      
       3221      |       13.1891891892      
       3222      |       17.0      
       7320      |       15.0      
       3225      |       17.0      
       3227      |       45.0      
       197      |       28.0638297872      
       11424      |       16.9227166276      
       5283      |       16.0      
       198      |       23.0      
       3238      |       17.1025641026      
       1191      |       18.3333333333      
       3241      |       16.25      
       3242      |       22.1785714286      
       199      |       26.4545454545      
       3244      |       25.0      
       3245      |       32.0      
       1198      |       20.0      
       3247      |       15.0      
       1200      |       18.3333333333      
       11441      |       20.0      
       7347      |       15.0      
       11445      |       15.0      
       1208      |       16.2      
       7354      |       16.6      
       1215      |       23.6666666667      
       11088      |       25.0      
       3265      |       12.5714285714      
       3266      |       22.9523809524      
       1219      |       15.0      
       204      |       10.0      
       1226      |       15.0      
       1227      |       23.0      
       1231      |       17.5      
       1232      |       15.0      
       1233      |       17.5      
       3283      |       15.0      
       1236      |       8.0      
       11477      |       15.0      
       1238      |       20.875      
       5337      |       21.6428571429      
       1031      |       21.1111111111      
       1244      |       17.2424242424      
       1245      |       17.6363636364      
       1246      |       14.5384615385      
       5343      |       30.0      
       11472      |       15.0      
       3298      |       20.0      
       7395      |       16.25      
       5348      |       23.4827586207      
       7397      |       15.6666666667      
       5350      |       21.2      
       5351      |       20.0      
       5352      |       22.5      
       5354      |       0.0      
       5355      |       28.3541666667      
       11501      |       15.4375      
       3311      |       20.0      
       3313      |       13.0      
       1267      |       16.0238095238      
       3316      |       15.0      
       3759      |       15.0      
       3318      |       15.0      
       1271      |       14.875      
       1272      |       17.2222222222      
       1275      |       27.0      
       1277      |       15.0      
       11518      |       22.3333333333      
       1279      |       15.1666666667      
       11520      |       14.0      
       1282      |       15.0      
       3331      |       10.0      
       10454      |       15.0      
       1288      |       15.1081081081      
       1289      |       10.0      
       3338      |       15.5      
       1291      |       15.8181818182      
       1292      |       13.4      
       1293      |       15.0      
       1294      |       16.2666666667      
       1295      |       30.0      
       1298      |       11.5      
       1301      |       60.0      
       1303      |       27.5      
       7448      |       15.0      
       211      |       30.0      
       54555      |       20.2903225806      
       3357      |       14.5555555556      
       3360      |       15.0      
       1313      |       15.0      
       7458      |       18.0      
       180      |       18.3333333333      
       5412      |       20.75      
       5413      |       16.7096774194      
       5414      |       27.6923076923      
       1319      |       9.33333333333      
       7464      |       14.7333333333      
       3369      |       18.4210526316      
       1322      |       27.1428571429      
       7467      |       30.0      
       5421      |       21.1      
       5422      |       21.2      
       54575      |       24.7142857143      
