FeatureValue   |   Average TimeWithMD
       376      |       21.0      
       378      |       16.25      
       381      |       12.8125      
       384      |       24.9      
       385      |       19.9210526316      
       2434      |       20.4      
       2454      |       15.0      
       2438      |       23.5714285714      
       391      |       14.8484848485      
       392      |       14.1904761905      
       393      |       14.6808510638      
       396      |       17.3333333333      
       400      |       16.6774193548      
       2449      |       35.0      
       3082      |       24.3181818182      
       3139      |       28.95      
       404      |       15.5769230769      
       405      |       17.6774193548      
       406      |       23.6363636364      
       2455      |       19.0      
       6553      |       21.8333333333      
       410      |       15.5555555556      
       2799      |       30.0      
       2458      |       16.4285714286      
       3287      |       22.5      
       6213      |       30.0      
       6563      |       14.5833333333      
       6564      |       15.0      
       2118      |       18.75      
       422      |       31.9444444444      
       2801      |       13.4615384615      
       2810      |       11.4705882353      
       426      |       26.7586206897      
       2475      |       18.75      
       428      |       18.1707317073      
       429      |       30.0      
       430      |       7.97058823529      
       2480      |       31.5625      
       435      |       18.5      
       438      |       18.7727272727      
       2489      |       35.6666666667      
       443      |       17.3018867925      
       446      |       22.3529411765      
       447      |       30.5384615385      
       448      |       28.1818181818      
       6593      |       14.4871794872      
       2570      |       22.5909090909      
       451      |       30.3846153846      
       2500      |       33.7857142857      
       2470      |       15.0      
       459      |       18.75      
       2509      |       25.3333333333      
       464      |       12.1219512195      
       3249      |       35.7692307692      
       469      |       18.0769230769      
       2518      |       26.9230769231      
       6615      |       20.4545454545      
       472      |       26.75      
       473      |       23.4615384615      
       2522      |       12.6538461538      
       2523      |       46.1818181818      
       2524      |       38.7931034483      
       477      |       22.75      
       478      |       12.40625      
       6565      |       14.5      
       480      |       21.875      
       6625      |       21.6666666667      
       2531      |       25.3333333333      
       2532      |       21.7391304348      
       485      |       26.8205128205      
       487      |       15.0      
       6634      |       16.875      
       6635      |       15.0      
       493      |       20.0      
       2543      |       21.7105263158      
       2335      |       32.0      
       497      |       13.6111111111      
       499      |       18.7419354839      
       500      |       21.5384615385      
       2814      |       14.8214285714      
       504      |       18.3333333333      
       509      |       19.0909090909      
       6654      |       0.0      
       2133      |       27.6666666667      
       512      |       22.2105263158      
       2561      |       20.8      
       514      |       24.6666666667      
       2564      |       25.4      
       518      |       20.5882352941      
       6663      |       10.5666666667      
       2569      |       39.2      
       522      |       16.8571428571      
       2135      |       36.8181818182      
       525      |       17.7586206897      
       2477      |       51.2857142857      
       3359      |       32.8571428571      
       2577      |       17.8846153846      
       532      |       15.0      
       533      |       4.36842105263      
       534      |       16.5625      
       6233      |       21.8214285714      
       3154      |       34.6428571429      
       537      |       9.875      
       539      |       18.76      
       540      |       25.7142857143      
       2590      |       50.0      
       2592      |       42.6315789474      
       545      |       20.0      
       2596      |       24.7      
       553      |       15.6774193548      
       556      |       14.1176470588      
       2895      |       20.380952381      
       559      |       10.4285714286      
       2745      |       17.5      
       561      |       15.3666666667      
       2269      |       41.8965517241      
       2611      |       26.8      
       2612      |       20.0      
       2613      |       29.4047619048      
       2614      |       40.1      
       567      |       22.9310344828      
       2616      |       21.8571428571      
       6714      |       20.0      
       2620      |       28.8461538462      
       2826      |       26.3888888889      
       2622      |       27.5428571429      
       575      |       21.6842105263      
       577      |       48.0357142857      
       2131      |       41.6666666667      
       579      |       35.5172413793      
       580      |       18.4615384615      
       2629      |       16.09375      
       2630      |       33.9583333333      
       584      |       21.3333333333      
       585      |       19.3333333333      
       586      |       56.0      
       588      |       10.0454545455      
       2146      |       44.3333333333      
       590      |       20.3611111111      
       2639      |       11.125      
       593      |       20.0      
       596      |       20.9615384615      
       2646      |       55.4814814815      
       600      |       9.375      
       601      |       43.7878787879      
       603      |       15.0      
       604      |       30.6666666667      
       607      |       20.6756756757      
       608      |       18.0769230769      
       2832      |       21.6666666667      
       2659      |       30.7142857143      
       614      |       21.1071428571      
       617      |       20.8695652174      
       2666      |       15.0      
       3241      |       31.7222222222      
       6764      |       22.3333333333      
       2671      |       17.6315789474      
       625      |       18.8571428571      
       3291      |       18.8333333333      
       2676      |       14.2424242424      
       2677      |       10.625      
       2885      |       19.8518518519      
       2679      |       12.1875      
       2680      |       10.0833333333      
       2681      |       16.7096774194      
       2682      |       37.1428571429      
       2495      |       27.5609756098      
       639      |       19.0625      
       640      |       24.2580645161      
       2496      |       27.0      
       2350      |       30.0      
       2691      |       15.5714285714      
       644      |       23.7333333333      
       2693      |       15.0416666667      
       647      |       21.1388888889      
       649      |       36.0      
       650      |       18.9310344828      
       2699      |       20.0      
       2700      |       27.4666666667      
       6594      |       15.0      
       655      |       15.0      
       2705      |       15.0      
       658      |       19.8529411765      
       2499      |       19.2857142857      
       2897      |       15.0      
       2710      |       17.7083333333      
       2711      |       10.3658536585      
       665      |       15.5172413793      
       2714      |       13.0      
       3183      |       33.2222222222      
       668      |       17.1276595745      
       669      |       13.15      
       670      |       34.5833333333      
       671      |       21.8222222222      
       672      |       21.3157894737      
       675      |       10.0      
       678      |       15.0      
       2727      |       18.125      
       680      |       18.5      
       6825      |       15.8823529412      
       684      |       24.0384615385      
       685      |       26.1111111111      
       2734      |       26.0434782609      
       688      |       18.75      
       2737      |       29.0357142857      
       6024      |       40.0      
       2739      |       16.5384615385      
       692      |       16.4074074074      
       2741      |       19.4117647059      
       696      |       20.0      
       2164      |       0.9375      
       699      |       18.9473684211      
       6844      |       22.8333333333      
       701      |       21.53125      
       2751      |       20.28      
       2752      |       15.3529411765      
       706      |       20.9090909091      
       707      |       19.6666666667      
       2756      |       16.0      
       6853      |       15.6666666667      
       6033      |       37.5      
       711      |       16.4285714286      
       2615      |       25.3333333333      
       6434      |       30.0      
       2766      |       20.2307692308      
       719      |       17.3684210526      
       720      |       17.4705882353      
       2769      |       12.0      
       722      |       18.8095238095      
       2771      |       19.6818181818      
       6873      |       22.7142857143      
       2776      |       16.1666666667      
       729      |       16.0      
       6874      |       20.6451612903      
       2779      |       19.2631578947      
       2780      |       41.6666666667      
       736      |       11.9      
       737      |       19.2222222222      
       739      |       20.7446808511      
       2788      |       22.0833333333      
       741      |       28.5882352941      
       2790      |       17.3076923077      
       2792      |       19.5757575758      
       6435      |       30.0      
       2794      |       14.5652173913      
       747      |       16.6666666667      
       2796      |       10.0      
       2797      |       16.5      
       2798      |       18.0      
       751      |       20.1428571429      
       752      |       24.2857142857      
       753      |       32.875      
       755      |       23.4782608696      
       2805      |       10.9259259259      
       758      |       17.8260869565      
       2807      |       15.0      
       6904      |       19.6875      
       6905      |       22.1304347826      
       762      |       45.5      
       763      |       17.3333333333      
       3251      |       12.9545454545      
       766      |       12.125      
       2517      |       46.4705882353      
       2816      |       18.4090909091      
       2817      |       15.1724137931      
       772      |       22.8571428571      
       6614      |       17.8928571429      
       774      |       20.7142857143      
       2824      |       13.8      
       778      |       28.8888888889      
       6923      |       17.7777777778      
       6924      |       16.6      
       2830      |       20.462962963      
       2140      |       20.0      
       786      |       18.5333333333      
       787      |       23.0952380952      
       2836      |       57.5      
       789      |       20.7692307692      
       2521      |       33.4      
       2840      |       18.3684210526      
       2842      |       15.7692307692      
       795      |       23.6764705882      
       798      |       24.4838709677      
       2847      |       20.5666666667      
       2848      |       24.375      
       2851      |       19.9666666667      
       2852      |       19.1724137931      
       807      |       20.4651162791      
       2733      |       8.75      
       2209      |       37.8571428571      
       2858      |       21.05      
       2245      |       30.0      
       2861      |       8.875      
       2525      |       28.2352941176      
       3164      |       38.5      
       817      |       17.15      
       2867      |       18.8888888889      
       6964      |       20.0      
       6965      |       18.5882352941      
       822      |       16.5517241379      
       823      |       28.0909090909      
       824      |       41.5909090909      
       2874      |       19.9333333333      
       2875      |       17.375      
       828      |       16.4516129032      
       2235      |       22.2272727273      
       2878      |       21.1304347826      
       6975      |       15.4074074074      
       6624      |       10.5263157895      
       2882      |       13.2444444444      
       2884      |       23.5333333333      
       837      |       17.2608695652      
       2665      |       15.0      
       840      |       16.8918918919      
       6784      |       15.7619047619      
       2890      |       15.0      
       843      |       19.85      
       2892      |       18.2857142857      
       2856      |       16.375      
       847      |       13.2      
       848      |       14.2413793103      
       2872      |       13.5      
       2898      |       16.40625      
       851      |       15.0      
       854      |       10.825      
       2904      |       22.3333333333      
       857      |       20.0      
       858      |       29.5666666667      
       2907      |       22.6875      
       6785      |       14.1666666667      
       861      |       15.0      
       863      |       19.5652173913      
       3216      |       27.24      
       866      |       24.8275862069      
       2916      |       43.3333333333      
       869      |       23.6666666667      
       871      |       15.0      
       2921      |       20.0      
       874      |       19.4150943396      
       877      |       21.8181818182      
       878      |       20.0      
       2877      |       21.4545454545      
       3098      |       25.8333333333      
       2931      |       22.8      
       6974      |       15.5517241379      
       2689      |       15.0      
       889      |       15.125      
       890      |       16.7142857143      
       891      |       12.8571428571      
       892      |       20.9375      
       893      |       14.2105263158      
       894      |       17.1052631579      
       2943      |       42.2      
       896      |       35.0      
       898      |       16.5757575758      
       899      |       18.6842105263      
       2894      |       17.6086956522      
       901      |       16.9565217391      
       2541      |       29.1935483871      
       906      |       17.6785714286      
       6304      |       14.4642857143      
       909      |       14.25      
       2958      |       30.0      
       911      |       15.5405405405      
       915      |       15.0      
       6645      |       18.2647058824      
       917      |       25.7894736842      
       3225      |       23.48      
       2970      |       21.25      
       926      |       16.0869565217      
       927      |       15.7407407407      
       2544      |       28.5416666667      
       930      |       13.2972972973      
       931      |       21.1363636364      
       6305      |       15.8064516129      
       2982      |       25.0      
