FeatureValue   |   Average TimeWithMD
       1      |       20.7399627759      
       2      |       24.280720339      
       3      |       18.3721692491      
       4      |       21.6758241758      
       5      |       20.2877697842      
       6      |       20.5340707965      
       7      |       22.7542857143      
       9      |       17.2372881356      
