FeatureValue   |   Average TimeWithMD
       257      |       20.5      
       258      |       20.6774193548      
       259      |       19.75      
       260      |       18.2545454545      
       261      |       24.8260869565      
       262      |       23.3076923077      
       263      |       22.3157894737      
       264      |       20.0      
       265      |       19.5128205128      
       266      |       22.3571428571      
       267      |       15.7272727273      
       268      |       24.4444444444      
       269      |       19.2727272727      
       270      |       17.6216216216      
       271      |       20.1764705882      
       272      |       21.15      
       273      |       21.652173913      
       274      |       22.28      
       275      |       19.4074074074      
       276      |       17.2857142857      
       277      |       17.7857142857      
       278      |       21.3571428571      
       279      |       23.5833333333      
       280      |       20.5263157895      
       281      |       20.0      
       282      |       18.1      
       283      |       21.7333333333      
       284      |       23.9230769231      
       285      |       23.2380952381      
       286      |       18.4615384615      
       287      |       16.625      
       288      |       22.4      
       289      |       20.0      
       290      |       19.75      
       291      |       17.0      
       292      |       25.0526315789      
       293      |       27.25      
       294      |       18.3      
       295      |       16.0      
       296      |       26.6      
       297      |       13.4444444444      
       298      |       23.6363636364      
       299      |       19.4166666667      
       300      |       19.52      
       301      |       19.4285714286      
       302      |       15.0      
       303      |       21.4      
       304      |       25.8333333333      
       305      |       24.2307692308      
       306      |       15.3333333333      
       307      |       22.0      
       308      |       22.5833333333      
       309      |       20.9166666667      
       310      |       15.0      
       311      |       18.3333333333      
       312      |       19.1875      
       313      |       21.0      
       314      |       17.6      
       315      |       17.0      
       316      |       20.0      
       317      |       22.5      
       318      |       15.4285714286      
       319      |       17.3333333333      
       320      |       20.4545454545      
       321      |       22.5      
       322      |       17.375      
       323      |       25.4      
       324      |       25.0      
       325      |       23.0      
       326      |       15.0      
       327      |       18.0      
       328      |       19.5      
       329      |       34.0      
       330      |       15.5      
       331      |       18.0      
       332      |       17.0      
       333      |       27.6666666667      
       334      |       20.75      
       335      |       36.3333333333      
       336      |       24.8      
       337      |       20.6666666667      
       338      |       22.5      
       339      |       19.5      
       340      |       21.7777777778      
       341      |       7.5      
       342      |       26.25      
       343      |       16.3333333333      
       345      |       37.3333333333      
       346      |       16.25      
       347      |       22.5      
       348      |       32.5      
       349      |       20.0      
       350      |       21.4166666667      
       351      |       15.0      
       353      |       15.0      
       354      |       27.0      
       355      |       15.8333333333      
       356      |       20.0      
       357      |       19.6666666667      
       358      |       18.3333333333      
       359      |       15.0      
       360      |       16.625      
       361      |       20.0      
       363      |       15.0      
       364      |       26.0      
       365      |       22.5      
       366      |       17.5      
       367      |       10.0      
       368      |       15.0      
       369      |       17.0      
       370      |       15.0      
       372      |       15.0      
       374      |       15.0      
       375      |       30.2      
       377      |       8.0      
       379      |       15.0      
       380      |       15.0      
       381      |       22.0      
       382      |       45.0      
       385      |       22.5      
       386      |       17.0      
       387      |       12.5      
       388      |       10.0      
       389      |       22.5      
       390      |       14.0      
       393      |       12.5      
       395      |       18.3333333333      
       397      |       13.5      
       398      |       15.0      
       400      |       30.0      
       403      |       15.0      
       404      |       15.0      
       410      |       17.5      
       415      |       20.0      
       420      |       18.0      
       422      |       11.0      
       425      |       19.0      
       426      |       20.0      
       430      |       24.5      
       432      |       45.0      
       434      |       40.0      
       435      |       15.0      
       436      |       20.0      
       439      |       60.0      
       444      |       15.0      
       450      |       18.0      
       460      |       30.0      
       464      |       34.0      
       467      |       30.0      
       468      |       20.0      
       475      |       15.0      
       481      |       15.0      
       495      |       14.0      
       500      |       12.75      
