------------------------------------------
Visualizes the field specified in tools/parser
------------------------------------------
Lines processed: 32281
[0;32mData parsed; constructing histogram [0m
Visualizes a single field's distribution via histogram over a given dataset.
Number of distinct points:  1170
    Field    :    Count  			   
----------------------------------------
   d00032    :     40    
   d05736    :     7    
   d03299    :     1    
   c00124    :     2    
   d00234    :     4    
   a51675    :     1    
   a11472    :     4    
   c00095    :     4    
   d04849    :     14    
   d04215    :     14    
   n09041    :     1    
   d04050    :     21    
   c00042    :     2    
   d04453    :     1    
   d01021    :     26    
   d00285    :     1    
   c00296    :     4    
   a56740    :     1    
   d03908    :     1    
   d03205    :     56    
   d00021    :     71    
   d04365    :     13    
   d04801    :     51    
   a10911    :     1    
   d05646    :     1    
   c00070    :     3    
   d00608    :     1    
   d04443    :     4    
   d00035    :     1    
   d03170    :     1    
   d00749    :     264    
   d00080    :     11    
   d05856    :     2    
   d04279    :     2    
   a55770    :     1    
   d00233    :     19    
   c00088    :     2    
   c00049    :     1    
   d03211    :     9    
   d04271    :     3    
   d03569    :     4    
   d04052    :     8    
   d00096    :     173    
   a53175    :     5    
   d03434    :     67    
   d00485    :     2    
   d04323    :     1    
   d04057    :     1    
   d00254    :     2    
   d00259    :     1    
   d04147    :     1    
   d00223    :     3    
   d00301    :     2    
   d00278    :     346    
   d03566    :     1    
   d00045    :     56    
   d04301    :     12    
   d04037    :     16    
   d00246    :     55    
   a11163    :     17    
   d00051    :     29    
   d04047    :     2    
   d03574    :     1    
   d05694    :     2    
   d00655    :     19    
   d00293    :     93    
   c00193    :     1    
   a51185    :     1    
   d00967    :     22    
   d00833    :     9    
   d06662    :     11    
   d00211    :     2    
   d01003    :     2    
   d07162    :     5    
   d00295    :     2    
   d00316    :     6    
   a10300    :     1    
   d04117    :     27    
   d00413    :     62    
   d07135    :     1    
   c00012    :     19    
   d04002    :     2    
   d00174    :     1    
   d01013    :     2    
   d00007    :     21    
   d00521    :     1    
   d01433    :     1    
   a11354    :     4    
   d04260    :     2    
   a11631    :     4    
   d00838    :     2    
   d04357    :     3    
   d05773    :     6    
   d00186    :     1    
   d01353    :     35    
   d03506    :     12    
   a56198    :     1    
   d04760    :     49    
   d00135    :     2    
   d00855    :     1    
   d04722    :     4    
   c00105    :     12    
   d00280    :     39    
   d00260    :     4    
   d04165    :     2    
   d04025    :     31    
   d04856    :     1    
   d00098    :     2    
   d00145    :     1    
   d01014    :     2    
   a11166    :     17    
   d04292    :     17    
   d04806    :     1    
   d04237    :     1    
   d00370    :     3    
   d03831    :     2    
   a11518    :     4    
   d04893    :     26    
   d04015    :     12    
   d00813    :     1    
   a10956    :     12    
   a11331    :     2    
   d00578    :     1    
   d06720    :     9    
   d03388    :     2    
   a11550    :     1    
   d03242    :     37    
   d03183    :     4    
   d04743    :     1    
   d07132    :     3    
   d00017    :     21    
   a10903    :     1    
   d03301    :     2    
   a10529    :     1    
   d01231    :     3    
   d04195    :     1    
   d00992    :     2    
   d00762    :     1    
   d01218    :     8    
   d04820    :     4    
   d00379    :     3    
   d04427    :     22    
   d01166    :     62    
   d00168    :     116    
   d01244    :     24    
   d04697    :     17    
   d01445    :     2    
   d04490    :     1    
   d04755    :     2    
   d00086    :     8    
   d03770    :     7    
   d04364    :     20    
   d00785    :     1    
   d00355    :     5    
   d00598    :     2    
   a54015    :     4    
   d03426    :     1    
   d00008    :     2    
   d00972    :     1    
   d04537    :     13    
   d01200    :     33    
   c00051    :     4    
   a53315    :     23    
   d03311    :     1    
   d00804    :     5    
   a11286    :     1    
   d03536    :     32    
   d04905    :     1    
   d01461    :     1    
   d04811    :     1    
   d00348    :     63    
   d00395    :     41    
   a10446    :     1    
   d04829    :     13    
   d00803    :     1    
   d04547    :     1    
   d04375    :     3    
   d00329    :     87    
   a59632    :     2    
   d04245    :     13    
   d03904    :     1    
   d00207    :     3    
   d05719    :     2    
   d01265    :     1    
   d00269    :     1    
   d00555    :     10    
   d01319    :     4    
   d04497    :     17    
   d01024    :     9    
   d03784    :     18    
   d00541    :     67    
   a10934    :     1    
